model,model_slug,framework,run_id,run_type,source_format,source_path,database_path,source_exists,has_done_marker,notes,run_days,final_networth,total_sales,avg_daily_sold_skus,return_ratio,expired_ratio,stockout_days,stockout_ratio,tool_days,direct_tool_calls,all_tool_calls,code_tool_calls,memory_tool_calls,avg_direct_tool_calls_per_day,avg_all_tool_calls_per_day,avg_code_tool_calls_per_day,avg_memory_tool_calls_per_day,token_days,input_tokens,output_tokens,total_tokens,cached_prompt_tokens,avg_tokens_per_day,estimated_cost_usd,avg_cost_usd_per_day
MiniMax-M2.5,minimax_m25,react,run_react_MiniMax-M2.5_caec_off_fcr_off_run1,llm,tool_calls,<EXTERNAL_LOG_ROOT>/batches_final_hard_v2/hard_v2_all_2026-05-20_19-39-54_react_MiniMax-M2.5_caec_off_fcr_off/run_react_MiniMax-M2.5_caec_off_fcr_off_run1,,1,1,,61,1788.2447626720257,22384,14.639344262295081,0.10413688348820586,0.0027621847990733314,50,0.819672131147541,61,1195,2255,1060,2,19.59016393442623,36.967213114754095,17.37704918032787,0.03278688524590164,60,36427714,2231171,38658885,17087488,644314.75,,
MiniMax-M2.5,minimax_m25,reflection,run_reflection_MiniMax-M2.5_caec_off_fcr_off_run1,llm,tool_calls,<EXTERNAL_LOG_ROOT>/batches_final_hard_v2/hard_v2_all_2026-05-20_19-39-54_reflection_MiniMax-M2.5_caec_off_fcr_off/run_reflection_MiniMax-M2.5_caec_off_fcr_off_run1,,1,1,,56,416.96555345789216,16819,7.732142857142857,0.10410844877816755,0.00854751237915586,37,0.6607142857142857,56,1930,3209,1279,1,34.464285714285715,57.30357142857143,22.839285714285715,0.017857142857142856,55,66277402,3957881,70235283,26836224,1277005.1454545455,,
MiniMax-M2.5,minimax_m25,plan_and_act,run_plan_and_act_MiniMax-M2.5_caec_off_fcr_off_run1,llm,tool_calls,<EXTERNAL_LOG_ROOT>/batches_final_hard_v2/hard_v2_all_2026-05-20_19-39-54_plan_and_act_MiniMax-M2.5_caec_off_fcr_off/run_plan_and_act_MiniMax-M2.5_caec_off_fcr_off_run1,,1,1,,73,-397.9498191216843,23521,12.082191780821917,0.10773351473151652,0.004949657331415517,52,0.7123287671232876,73,1363,2934,1571,32,18.671232876712327,40.19178082191781,21.52054794520548,0.4383561643835616,72,32924008,1974281,34898289,16345472,484698.4583333333,,
DeepSeek-V4-Pro,deepseek_v4_pro,react,run_react_deepseek-v4-pro_caec_off_fcr_off_run1,llm,tool_calls,<EXTERNAL_LOG_ROOT>/batches_final_hard_v2/hard_v2_all_2026-05-20_19-39-54_react_deepseek-v4-pro_caec_off_fcr_off/run_react_deepseek-v4-pro_caec_off_fcr_off_run1,,1,1,,144,-1554.4708507118362,134931,30.17361111111111,0.09675315531642098,0.05728358834625864,80,0.5555555555555556,144,2227,7743,5516,143,15.465277777777779,53.770833333333336,38.30555555555556,0.9930555555555556,143,52624950,2271764,54896714,16012032,383893.1048951049,,
DeepSeek-V4-Pro,deepseek_v4_pro,reflection,run_reflection_deepseek-v4-pro_caec_off_fcr_off_run1,llm,tool_calls,<EXTERNAL_LOG_ROOT>/batches_final_hard_v2/hard_v2_all_2026-05-20_19-39-54_reflection_deepseek-v4-pro_caec_off_fcr_off/run_reflection_deepseek-v4-pro_caec_off_fcr_off_run1,,1,1,,94,-1792.1316699994368,33593,25.97872340425532,0.09802637454231536,0.04524655392923121,73,0.776595744680851,94,1707,5484,3777,109,18.159574468085108,58.340425531914896,40.180851063829785,1.1595744680851063,93,40849851,1899613,42749464,8026496,459671.65591397847,,
DeepSeek-V4-Pro,deepseek_v4_pro,plan_and_act,run_plan_and_act_deepseek-v4-pro_caec_off_fcr_off_run1,llm,tool_calls,<EXTERNAL_LOG_ROOT>/batches_final_hard_v2/hard_v2_all_2026-05-20_19-39-54_plan_and_act_deepseek-v4-pro_caec_off_fcr_off/run_plan_and_act_deepseek-v4-pro_caec_off_fcr_off_run1,,1,1,,180,10120.900683892261,164417,32.56666666666667,0.0858183764452581,0.014428379609648491,116,0.6444444444444445,180,4181,11223,7042,152,23.227777777777778,62.35,39.12222222222222,0.8444444444444444,180,87038593,4494224,91532817,15004928,508515.65,,
GLM-5.1,glm_51,react,run_react_glm-5.1_caec_off_fcr_off_run1,llm,tool_calls,<EXTERNAL_LOG_ROOT>/batches_final_hard_v2/hard_v2_all_2026-05-20_19-39-54_react_glm-5.1_caec_off_fcr_off/run_react_glm-5.1_caec_off_fcr_off_run1,,1,1,,60,-2134.363292402812,7016,3.966666666666667,0.1346921322690992,0.029733093624671553,14,0.23333333333333334,60,2255,2399,144,26,37.583333333333336,39.983333333333334,2.4,0.43333333333333335,59,58201315,4014819,62216134,21147008,1054510.7457627119,,
GLM-5.1,glm_51,reflection,run_reflection_glm-5.1_caec_off_fcr_off_run1,llm,tool_calls,<EXTERNAL_LOG_ROOT>/batches_final_hard_v2/hard_v2_all_2026-05-20_19-39-54_reflection_glm-5.1_caec_off_fcr_off/run_reflection_glm-5.1_caec_off_fcr_off_run1,,1,1,,49,4619.756751052236,6770,6.775510204081633,0.11447562776957164,0.008639625128130034,23,0.46938775510204084,49,2540,2613,73,65,51.83673469387755,53.326530612244895,1.489795918367347,1.3265306122448979,48,50224944,5038725,55263669,10610816,1151326.4375,,
GLM-5.1,glm_51,plan_and_act,run_plan_and_act_glm-5.1_caec_off_fcr_off_run1,llm,tool_calls,<EXTERNAL_LOG_ROOT>/batches_final_hard_v2/hard_v2_all_2026-05-20_19-39-54_plan_and_act_glm-5.1_caec_off_fcr_off/run_plan_and_act_glm-5.1_caec_off_fcr_off_run1,,1,1,,56,-2824.7826066051803,739,1.375,0.03382949932341001,0.0,11,0.19642857142857142,56,2050,2092,42,8,36.607142857142854,37.357142857142854,0.75,0.14285714285714285,55,43056238,3283463,46339701,13668224,842540.0181818182,,
Kimi-K2.6,kimi_k26,react,run_react_kimi-k2.6_caec_off_fcr_off_run1,llm,tool_calls,<EXTERNAL_LOG_ROOT>/batches_final_hard_v2/hard_v2_all_2026-05-20_19-39-54_react_kimi-k2.6_caec_off_fcr_off/run_react_kimi-k2.6_caec_off_fcr_off_run1,,1,1,,130,792.1928887377429,86214,25.73076923076923,0.12263669473635372,0.041065112450781927,62,0.47692307692307695,130,3431,5949,2518,43,26.392307692307693,45.761538461538464,19.369230769230768,0.33076923076923076,129,62303418,5177547,67480965,19613952,523108.25581395347,,
